,0,1,2,3
400,6195,50608.0,,
401,22639,,,
402,41979,,,
403,1339,,,
404,27468,,,
405,49059,,,
406,12921,,,
407,33235,,,
408,21879,,,
409,10179,,,
410,14083,,,
411,23361,,,
412,6089,,,
413,29828,,,
414,57818,,,
415,37165,37166.0,,
416,12786,,,
417,32007,,,
418,199,,,
419,59603,,,
420,25170,,,
421,48448,,,
422,21485,,,
423,57590,,,
424,1597,,,
425,24980,,,
426,14669,,,
427,3597,,,
428,31839,,,
429,998,,,
430,42701,,,
431,1071,,,
432,29608,,,
433,13488,,,
434,5174,,,
435,34464,,,
436,9223,,,
437,4086,,,
438,7416,,,
439,14212,,,
440,9709,,,
441,8014,,,
442,16639,,,
443,39739,,,
444,8708,,,
445,40568,,,
446,17246,,,
447,24235,,,
448,55623,,,
449,12156,,,
450,6699,,,
451,2018,,,
452,129,,,
453,8475,,,
454,473,,,
455,5050,,,
456,4054,,,
457,8762,,,
458,3774,,,
459,38316,38492.0,,
460,4313,,,
461,47547,,,
462,2189,,,
463,13038,,,
464,32576,,,
465,4416,,,
466,18577,,,
467,29,,,
468,38695,,,
469,16051,,,
470,70,,,
471,6108,,,
472,121,,,
473,3405,,,
474,941,,,
475,6105,,,
476,40,,,
477,15561,15562.0,,
478,21546,,,
479,34709,,,
480,36893,,,
481,3092,,,
482,5682,,,
483,17529,,,
484,29548,,,
485,17531,,,
486,25771,,,
487,1904,,,
488,19984,,,
489,1467,,,
490,56118,,,
491,50589,,,
492,14673,,,
493,3502,,,
494,39795,,,
495,28641,,,
496,9853,,,
497,38437,,,
498,19908,,,
499,29661,,,
500,44804,,,
501,6632,,,
502,26366,,,
503,1102,,,
504,5288,,,
505,31,,,
506,31103,,,
507,1841,,,
508,27686,,,
509,57718,,,
510,32817,,,
511,38897,,,
512,11287,,,
513,6091,,,
514,56920,56929.0,,
515,664,,,
516,46988,,,
517,13267,,,
518,3529,,,
519,19073,,,
520,39,,,
521,12193,,,
522,10998,,,
523,35913,35914.0,,
524,2951,,,
525,52005,,,
526,7107,,,
527,26240,,,
528,43702,,,
529,3611,,,
530,1760,,,
531,32,,,
532,41365,,,
533,3172,,,
534,1650,,,
535,29644,,,
536,55171,,,
537,5095,,,
538,2357,,,
539,41785,,,
540,26052,,,
541,873,,,
542,4956,,,
543,1271,,,
544,24111,,,
545,25760,,,
546,37208,,,
547,19468,,,
548,11919,,,
549,697,,,
550,867,,,
551,29602,,,
552,6124,,,
